label,E,Z,peakK,inSlope,inR2,E (energy),Z (enstrophy),peakK,krms = sqrt(Z/E),sep = krms/peakK,ReE = E/sqrt(Z),gamma = -ln(velDamp),forceGain,Re_drag = sqrt(E)*pk/g,Re_drag2 = sqrt(E)/g,E/gamma,fG * gamma^0.38 (2grp)
"fG=0.25,vD=0.9",0.00781,0.0003,1,-2.006,0.982,0.00781,0.0003,1,0.19599,0.19599,0.45091,0.10536,0.25,0.83878,0.83878,0.074126,0.10655
"fG=0.5,vD=0.9",0.02343,0.001,1,-1.872,0.981,0.02343,0.001,1,0.20659,0.20659,0.74092,0.10536,0.5,1.4528,1.4528,0.22238,0.21309
"fG=1,vD=0.9",0.0453,0.0032,1,-1.648,0.968,0.0453,0.0032,1,0.26578,0.26578,0.8008,0.10536,1,2.0201,2.0201,0.42995,0.42618
"fG=2,vD=0.9",0.09169,0.0114,9,-1.055,0.941,0.09169,0.0114,9,0.35261,0.039179,0.85876,0.10536,2,25.866,2.874,0.87025,0.85236
"fG=3.5,vD=0.9",0.16851,0.0321,9,-0.735,0.929,0.16851,0.0321,9,0.43646,0.048495,0.94053,0.10536,3.5,35.065,3.8961,1.5994,1.4916
"fG=5,vD=0.9",0.23852,0.0605,9,-0.537,0.927,0.23852,0.0605,9,0.50363,0.055959,0.96972,0.10536,5,41.718,4.6354,2.2638,2.1309
"fG=0.25,vD=0.95",0.02264,0.0004,1,-2.288,0.984,0.02264,0.0004,1,0.13292,0.13292,1.132,0.051293,0.25,2.9334,2.9334,0.44138,0.081106
"fG=0.5,vD=0.95",0.04085,0.0013,1,-2.053,0.983,0.04085,0.0013,1,0.17839,0.17839,1.133,0.051293,0.5,3.9404,3.9404,0.7964,0.16221
"fG=1,vD=0.95",0.07269,0.0041,9,-1.781,0.977,0.07269,0.0041,9,0.2375,0.026388,1.1352,0.051293,1,47.306,5.2563,1.4171,0.32442
"fG=2,vD=0.95",0.16067,0.0142,9,-1.365,0.967,0.16067,0.0142,9,0.29729,0.033032,1.3483,0.051293,2,70.331,7.8146,3.1324,0.64885
"fG=3.5,vD=0.95",0.25654,0.0375,8,-1.068,0.957,0.25654,0.0375,8,0.38233,0.047791,1.3248,0.051293,3.5,78.996,9.8745,5.0014,1.1355
"fG=5,vD=0.95",0.35878,0.0692,9,-0.845,0.95,0.35878,0.0692,9,0.43918,0.048797,1.3639,0.051293,5,105.1,11.678,6.9947,1.6221
"fG=0.25,vD=0.98",0.04677,0.0006,1,-2.565,0.978,0.04677,0.0006,1,0.11326,0.11326,1.9094,0.020203,0.25,10.705,10.705,2.315,0.056976
"fG=0.5,vD=0.98",0.06905,0.0017,9,-2.478,0.985,0.06905,0.0017,9,0.15691,0.017434,1.6747,0.020203,0.5,117.06,13.007,3.4179,0.11395
"fG=1,vD=0.98",0.1346,0.0054,9,-2.073,0.977,0.1346,0.0054,9,0.2003,0.022255,1.8317,0.020203,1,163.44,18.16,6.6625,0.2279
"fG=2,vD=0.98",0.2571,0.0177,8,-1.7,0.969,0.2571,0.0177,8,0.26238,0.032798,1.9325,0.020203,2,200.79,25.098,12.726,0.45581
"fG=3.5,vD=0.98",0.42271,0.0437,8,-1.344,0.955,0.42271,0.0437,8,0.32153,0.040191,2.0221,0.020203,3.5,257.46,32.182,20.923,0.79766
"fG=5,vD=0.98",0.59012,0.0784,9,-1.125,0.949,0.59012,0.0784,9,0.36449,0.040499,2.1076,0.020203,5,342.22,38.024,29.21,1.1395
"fG=0.25,vD=0.99",0.07786,0.0008,1,-2.755,0.976,0.07786,0.0008,1,0.10136,0.10136,2.7528,0.01005,0.25,27.764,27.764,7.747,0.043729
"fG=0.5,vD=0.99",0.12539,0.0023,9,-2.674,0.982,0.12539,0.0023,9,0.13544,0.015048,2.6146,0.01005,0.5,317.1,35.233,12.476,0.087457
"fG=1,vD=0.99",0.19458,0.0062,9,-2.21,0.975,0.19458,0.0062,9,0.1785,0.019834,2.4712,0.01005,1,395.01,43.89,19.361,0.17491
"fG=2,vD=0.99",0.35975,0.0191,8,-1.716,0.965,0.35975,0.0191,8,0.23042,0.028802,2.6031,0.01005,2,477.43,59.679,35.795,0.34983
"fG=3.5,vD=0.99",0.53646,0.0458,6,-1.476,0.957,0.53646,0.0458,6,0.29219,0.048698,2.5067,0.01005,3.5,437.26,72.877,53.377,0.6122
"fG=5,vD=0.99",0.79135,0.0801,6,-1.305,0.943,0.79135,0.0801,6,0.31815,0.053025,2.7961,0.01005,5,531.07,88.512,78.739,0.87457
"fG=0.25,vD=0.995",0.10371,0.0011,8,-3.165,0.985,0.10371,0.0011,8,0.10299,0.012873,3.127,0.0050125,0.25,513.98,64.247,20.69,0.033594
"fG=0.5,vD=0.995",0.17429,0.0027,8,-2.749,0.978,0.17429,0.0027,8,0.12446,0.015558,3.3542,0.0050125,0.5,666.3,83.287,34.771,0.067188
"fG=1,vD=0.995",0.32423,0.0069,6,-2.259,0.972,0.32423,0.0069,6,0.14588,0.024313,3.9033,0.0050125,1,681.58,113.6,64.684,0.13438
"fG=2,vD=0.995",0.50269,0.0201,9,-1.769,0.961,0.50269,0.0201,9,0.19996,0.022218,3.5457,0.0050125,2,1273,141.45,100.29,0.26875
"fG=3.5,vD=0.995",0.76167,0.0475,6,-1.556,0.951,0.76167,0.0475,6,0.24973,0.041621,3.4948,0.0050125,3.5,1044.7,174.11,151.95,0.47032
"fG=5,vD=0.995",1.27438,0.0833,5,-1.421,0.942,1.2744,0.0833,5,0.25567,0.051133,4.4155,0.0050125,5,1126.1,225.21,254.24,0.67188
"fG=0.25,vD=0.999",0.20128,0.0014,9,-3.189,0.974,0.20128,0.0014,9,0.0834,0.0092666,5.3794,0.0010005,0.25,4035.8,448.42,201.18,0.01824
"fG=0.5,vD=0.999",0.37084,0.0033,6,-2.804,0.975,0.37084,0.0033,6,0.094333,0.015722,6.4555,0.0010005,0.5,3652,608.66,370.65,0.03648
"fG=1,vD=0.999",0.58358,0.0078,4,-2.4,0.972,0.58358,0.0078,4,0.11561,0.028903,6.6077,0.0010005,1,3054.2,763.54,583.29,0.07296
"fG=2,vD=0.999",0.84314,0.0211,6,-1.92,0.96,0.84314,0.0211,6,0.15819,0.026366,5.8044,0.0010005,2,5506.6,917.77,842.72,0.14592
"fG=3.5,vD=0.999",1.55212,0.0503,6,-1.635,0.953,1.5521,0.0503,6,0.18002,0.030003,6.9206,0.0010005,3.5,7471.3,1245.2,1551.3,0.25536
"fG=5,vD=0.999",2.66515,0.0872,6,-1.486,0.939,2.6652,0.0872,6,0.18088,0.030147,9.0253,0.0010005,5,9790.3,1631.7,2663.8,0.3648
