sensorDist,rep,peakK,inSlope,inR2,E,Z
0.003,0,1,-1.555,0.967,0.26114,0.02033
0.003,1,1,-1.529,0.968,0.31806,0.02006
0.003,2,1,-1.554,0.980,0.33756,0.01894
0.003,3,1,-1.566,0.970,0.32437,0.02000
0.003,4,1,-1.547,0.964,0.30270,0.02050
0.003,5,1,-1.545,0.972,0.32876,0.01938
0.003,6,1,-1.538,0.970,0.29898,0.01987
0.003,7,1,-1.528,0.967,0.31836,0.01950
0.003,8,1,-1.518,0.963,0.34604,0.01964
0.003,9,1,-1.582,0.971,0.27394,0.01980
0.003,10,1,-1.528,0.965,0.31067,0.02000
0.003,11,1,-1.600,0.976,0.27787,0.01994
0.006,0,9,-2.388,0.966,0.27564,0.02604
0.006,1,4,-2.022,0.925,0.28003,0.02592
0.006,2,9,-2.389,0.962,0.26774,0.02632
0.006,3,4,-2.019,0.925,0.26457,0.02617
0.006,4,5,-2.089,0.935,0.28822,0.02578
0.006,5,4,-2.029,0.930,0.26932,0.02601
0.006,6,4,-1.991,0.918,0.25960,0.02557
0.006,7,4,-2.027,0.935,0.25570,0.02562
0.006,8,4,-2.008,0.926,0.30433,0.02574
0.006,9,8,-2.316,0.956,0.28376,0.02631
0.006,10,4,-2.021,0.929,0.27610,0.02588
0.006,11,4,-2.021,0.928,0.30131,0.02587
0.009,0,4,-2.254,0.957,0.30037,0.02525
0.009,1,4,-2.229,0.944,0.26861,0.02533
0.009,2,4,-2.274,0.959,0.29829,0.02515
0.009,3,9,-2.632,0.988,0.27669,0.02604
0.009,4,4,-2.251,0.949,0.29515,0.02597
0.009,5,9,-2.623,0.987,0.28557,0.02614
0.009,6,4,-2.253,0.949,0.27336,0.02556
0.009,7,1,-1.921,0.902,0.28089,0.02512
0.009,8,4,-2.258,0.955,0.26095,0.02505
0.009,9,9,-2.599,0.987,0.27706,0.02557
0.009,10,4,-2.276,0.955,0.28633,0.02579
0.009,11,9,-2.629,0.988,0.24811,0.02624
0.012,0,21,-2.320,0.977,0.29671,0.02445
0.012,1,1,-1.888,0.873,0.28496,0.02347
0.012,2,4,-2.334,0.971,0.28722,0.02293
0.012,3,1,-1.932,0.896,0.29668,0.02359
0.012,4,17,-2.442,0.979,0.30808,0.02443
0.012,5,4,-2.337,0.966,0.28893,0.02397
0.012,6,21,-2.307,0.977,0.27455,0.02392
0.012,7,18,-2.398,0.979,0.28311,0.02388
0.012,8,26,-2.152,0.977,0.28245,0.02359
0.012,9,21,-2.347,0.979,0.28827,0.02492
0.012,10,21,-2.320,0.977,0.29093,0.02449
0.012,11,16,-2.462,0.981,0.28297,0.02396
