label,E,Z,peakK,inSlope,inR2,E (energy),Z (enstrophy),peakK,krms = sqrt(Z/E),sep = krms/peakK,ReE = E/sqrt(Z),gamma = -ln(velDamp),forceGain,Re_drag = sqrt(E)*pk/g,Re_drag2 = sqrt(E)/g,E/gamma,fG * gamma^0.38 (2grp)
"fG=1,vD=0.95,sD=0.004",0.08894,0.0097,1,-1.388,0.911,0.08894,0.0097,1,0.33025,0.33025,0.90305,0.051293,1,5.8142,5.8142,1.7339,0.32442
"fG=3.5,vD=0.95,sD=0.004",0.1593,0.0444,1,-0.883,0.902,0.1593,0.0444,1,0.52794,0.52794,0.756,0.051293,3.5,7.7812,7.7812,3.1057,1.1355
"fG=0.5,vD=0.98,sD=0.004",0.11093,0.006,3,-1.847,0.912,0.11093,0.006,3,0.23257,0.077523,1.4321,0.020203,0.5,49.458,16.486,5.4908,0.11395
"fG=1,vD=0.98,sD=0.004",0.13787,0.0121,3,-1.706,0.914,0.13787,0.0121,3,0.29625,0.09875,1.2534,0.020203,1,55.137,18.379,6.8243,0.2279
"fG=2,vD=0.98,sD=0.004",0.16947,0.0255,1,-1.327,0.897,0.16947,0.0255,1,0.3879,0.3879,1.0613,0.020203,2,20.377,20.377,8.3885,0.45581
"fG=3.5,vD=0.98,sD=0.004",0.22426,0.0508,1,-1.157,0.92,0.22426,0.0508,1,0.47594,0.47594,0.99499,0.020203,3.5,23.44,23.44,11.1,0.79766
"fG=0.5,vD=0.99,sD=0.004",0.16355,0.0065,2,-2.014,0.943,0.16355,0.0065,2,0.19936,0.099678,2.0286,0.01005,0.5,80.478,40.239,16.273,0.087457
"fG=1,vD=0.99,sD=0.004",0.20851,0.0127,2,-1.832,0.941,0.20851,0.0127,2,0.2468,0.1234,1.8502,0.01005,1,90.868,45.434,20.747,0.17491
"fG=2,vD=0.99,sD=0.004",0.25001,0.0271,1,-1.508,0.936,0.25001,0.0271,1,0.32923,0.32923,1.5187,0.01005,2,49.751,49.751,24.876,0.34983
"fG=3.5,vD=0.99,sD=0.004",0.26504,0.0547,1,-1.293,0.92,0.26504,0.0547,1,0.45429,0.45429,1.1332,0.01005,3.5,51.224,51.224,26.371,0.6122
"fG=0.5,vD=0.999,sD=0.004",0.31438,0.0071,1,-2.219,0.962,0.31438,0.0071,1,0.15028,0.15028,3.731,0.0010005,0.5,560.42,560.42,314.22,0.03648
"fG=1,vD=0.999,sD=0.004",0.34446,0.0137,1,-1.986,0.96,0.34446,0.0137,1,0.19943,0.19943,2.9429,0.0010005,1,586.61,586.61,344.29,0.07296
"fG=2,vD=0.999,sD=0.004",0.44161,0.0282,1,-1.713,0.967,0.44161,0.0282,1,0.2527,0.2527,2.6297,0.0010005,2,664.21,664.21,441.39,0.14592
"fG=3.5,vD=0.999,sD=0.004",0.44934,0.057,1,-1.504,0.948,0.44934,0.057,1,0.35616,0.35616,1.8821,0.0010005,3.5,669.99,669.99,449.12,0.25536
"fG=1,vD=0.95,sD=0.012",0.09042,0.0091,3,-2.027,0.891,0.09042,0.0091,3,0.31724,0.10575,0.94786,0.051293,1,17.587,5.8623,1.7628,0.32442
"fG=2,vD=0.95,sD=0.012",0.14796,0.0221,4,-1.865,0.898,0.14796,0.0221,4,0.38648,0.096619,0.99529,0.051293,2,29.997,7.4991,2.8846,0.64885
"fG=1,vD=0.98,sD=0.012",0.15098,0.0122,2,-2.165,0.899,0.15098,0.0122,2,0.28426,0.14213,1.3669,0.020203,1,38.466,19.233,7.4733,0.2279
"fG=2,vD=0.98,sD=0.012",0.2288,0.0271,25,-2.043,0.975,0.2288,0.0271,25,0.34416,0.013766,1.3899,0.020203,2,591.91,23.677,11.325,0.45581
"fG=3.5,vD=0.98,sD=0.012",0.32893,0.0528,21,-1.569,0.947,0.32893,0.0528,21,0.40065,0.019079,1.4315,0.020203,3.5,596.16,28.388,16.281,0.79766
"fG=0.5,vD=0.99,sD=0.012",0.13784,0.0064,1,-2.372,0.892,0.13784,0.0064,1,0.21548,0.21548,1.723,0.01005,0.5,36.941,36.941,13.715,0.087457
"fG=1,vD=0.99,sD=0.012",0.19707,0.0138,4,-2.569,0.953,0.19707,0.0138,4,0.26462,0.066156,1.6776,0.01005,1,176.68,44.17,19.608,0.17491
"fG=3.5,vD=0.99,sD=0.012",0.42595,0.0548,21,-1.581,0.95,0.42595,0.0548,21,0.35868,0.01708,1.8196,0.01005,3.5,1363.7,64.938,42.382,0.6122
"fG=0.5,vD=0.999,sD=0.012",0.23997,0.0075,1,-2.629,0.929,0.23997,0.0075,1,0.17679,0.17679,2.7709,0.0010005,0.5,489.62,489.62,239.85,0.03648
"fG=1,vD=0.999,sD=0.012",0.33789,0.0148,6,-2.867,0.991,0.33789,0.0148,6,0.20929,0.034881,2.7774,0.0010005,1,3486,580.99,337.72,0.07296
"fG=2,vD=0.999,sD=0.012",0.59811,0.0266,9,-2.353,0.976,0.59811,0.0266,9,0.21089,0.023432,3.6672,0.0010005,2,6956.9,772.99,597.81,0.14592
"fG=3.5,vD=0.999,sD=0.012",0.79293,0.0535,1,-1.832,0.929,0.79293,0.0535,1,0.25975,0.25975,3.4281,0.0010005,3.5,890.02,890.02,792.53,0.25536
"fG=0.5,vD=0.95,sD=0.03",0.04262,0.0019,2,-2.21,0.963,0.04262,0.0019,2,0.21114,0.10557,0.97777,0.051293,0.5,8.0496,4.0248,0.83091,0.16221
