label,E,Z,peakK,inSlope,inR2,E (energy),Z (enstrophy),peakK,krms = sqrt(Z/E),sep = krms/peakK,ReE = E/sqrt(Z),gamma = -ln(velDamp),forceGain,Re_drag = sqrt(E)*pk/g,Re_drag2 = sqrt(E)/g,E/gamma,fG * gamma^0.38 (2grp)
baseline=,0.38261,0.0151,9,-1.826,0.964,0.38261,0.0151,9,0.19866,0.022073,3.1136,0.0071708,1.6929,776.34,86.26,53.356,0.26054
velDamp=0.9,0.08247,0.0085,9,-1.15,0.943,0.08247,0.0085,9,0.32104,0.035671,0.89451,0.10536,1.6929,24.531,2.7257,0.78274,0.72147
velDamp=0.95,0.12441,0.0103,9,-1.442,0.962,0.12441,0.0103,9,0.28773,0.03197,1.2258,0.051293,1.6929,61.888,6.8765,2.4255,0.5492
velDamp=0.98,0.23675,0.013,8,-1.753,0.969,0.23675,0.013,8,0.23433,0.029291,2.0764,0.020203,1.6929,192.68,24.084,11.719,0.38581
velDamp=0.99,0.32255,0.0149,8,-1.887,0.968,0.32255,0.0149,8,0.21493,0.026866,2.6424,0.01005,1.6929,452.07,56.509,32.093,0.29611
velDamp=0.999,0.795,0.0166,4,-2.064,0.966,0.795,0.0166,4,0.1445,0.036125,6.1704,0.0010005,1.6929,3564.7,891.18,794.6,0.12351
forceGain=0.1,0.0401,0.0003,1,-3.078,0.976,0.0401,0.0003,1,0.086494,0.086494,2.3152,0.0071708,0.1,27.926,27.926,5.5921,0.015391
forceGain=0.5,0.15704,0.0024,9,-2.68,0.978,0.15704,0.0024,9,0.12362,0.013736,3.2056,0.0071708,0.5,497.37,55.263,21.9,0.076954
forceGain=1,0.24654,0.0066,8,-2.192,0.971,0.24654,0.0066,8,0.16362,0.020452,3.0347,0.0071708,1,553.94,69.243,34.381,0.15391
forceGain=2.5,0.50839,0.0274,6,-1.689,0.961,0.50839,0.0274,6,0.23215,0.038692,3.0713,0.0071708,2.5,596.59,99.432,70.897,0.38477
forceGain=5,1.10255,0.0816,5,-1.415,0.936,1.1025,0.0816,5,0.27205,0.05441,3.8597,0.0071708,5,732.15,146.43,153.75,0.76954
sensorDist=0.002,0.31386,0.0185,1,-1.529,0.982,0.31386,0.0185,1,0.24278,0.24278,2.3075,0.0071708,1.6929,78.126,78.126,43.769,0.26054
sensorDist=0.006,0.29035,0.0256,6,-2.154,0.941,0.29035,0.0256,6,0.29693,0.049489,1.8147,0.0071708,1.6929,450.86,75.143,40.49,0.26054
sensorDist=0.012,0.30359,0.0239,17,-2.409,0.977,0.30359,0.0239,17,0.28058,0.016505,1.9638,0.0071708,1.6929,1306.2,76.837,42.337,0.26054
sensorDist=0.03,0.39302,0.0183,13,-1.997,0.968,0.39302,0.0183,13,0.21578,0.016599,2.9053,0.0071708,1.6929,1136.5,87.425,54.808,0.26054
sensorDist=0.08,0.40961,0.0144,6,-1.832,0.968,0.40961,0.0144,6,0.1875,0.03125,3.4134,0.0071708,1.6929,535.51,89.251,57.122,0.26054
swim=0.1,0.51387,0.0233,9,-1.719,0.958,0.51387,0.0233,9,0.21294,0.02366,3.3665,0.0071708,1.6929,899.7,99.967,71.661,0.26054
swim=0.2,1.34573,0.0698,7,-1.475,0.93,1.3457,0.0698,7,0.22774,0.032535,5.0937,0.0071708,1.6929,1132.4,161.77,187.67,0.26054
cohesion=0,0.46497,0.0164,9,-1.925,0.964,0.46497,0.0164,9,0.18781,0.020867,3.6308,0.0071708,1.6929,855.82,95.092,64.842,0.26054
cohesion=0.05,0.42812,0.0159,8,-1.925,0.968,0.42812,0.0159,8,0.19272,0.024089,3.3952,0.0071708,1.6929,729.97,91.246,59.703,0.26054
cohesion=0.15,0.3624,0.0145,9,-1.753,0.962,0.3624,0.0145,9,0.20003,0.022225,3.0096,0.0071708,1.6929,755.55,83.951,50.538,0.26054
cohesion=0.3,0.29394,0.0136,9,-1.662,0.962,0.29394,0.0136,9,0.2151,0.0239,2.5205,0.0071708,1.6929,680.46,75.606,40.991,0.26054
cohesion=0.5,0.25024,0.0127,7,-1.597,0.957,0.25024,0.0127,7,0.22528,0.032183,2.2205,0.0071708,1.6929,488.32,69.76,34.897,0.26054
fluidPull=0,0.72298,0.0217,1,-2.072,0.986,0.72298,0.0217,1,0.17325,0.17325,4.9079,0.0071708,1.6929,118.57,118.57,100.82,0.26054
