forceGain,velDamp,sensorDist,E,Z,peakK,highSlope,highR2,inSlope,inR2
0.5,0.95,0.004,0.05496,0.0048,1,-1.789,0.911,-1.376,0.878
1,0.95,0.004,0.08894,0.0097,1,-1.579,0.943,-1.388,0.911
2,0.95,0.004,0.11408,0.0210,1,-1.205,0.940,-1.083,0.872
3.5,0.95,0.004,0.15930,0.0444,1,-0.926,0.955,-0.883,0.902
0.5,0.98,0.004,0.11093,0.0060,3,-2.118,0.951,-1.847,0.912
1,0.98,0.004,0.13787,0.0121,3,-1.823,0.958,-1.706,0.914
2,0.98,0.004,0.16947,0.0255,1,-1.385,0.946,-1.327,0.897
3.5,0.98,0.004,0.22426,0.0508,1,-1.113,0.953,-1.157,0.920
0.5,0.99,0.004,0.16355,0.0065,2,-2.200,0.960,-2.014,0.943
1,0.99,0.004,0.20851,0.0127,2,-1.895,0.966,-1.832,0.941
2,0.99,0.004,0.25001,0.0271,1,-1.500,0.960,-1.508,0.936
3.5,0.99,0.004,0.26504,0.0547,1,-1.207,0.948,-1.293,0.920
0.5,0.999,0.004,0.31438,0.0071,1,-2.315,0.967,-2.219,0.962
1,0.999,0.004,0.34446,0.0137,1,-1.978,0.968,-1.986,0.960
2,0.999,0.004,0.44161,0.0282,1,-1.620,0.973,-1.713,0.967
3.5,0.999,0.004,0.44934,0.0570,1,-1.338,0.955,-1.504,0.948
0.5,0.95,0.012,0.06093,0.0039,1,-1.973,0.918,-1.863,0.851
1,0.95,0.012,0.09042,0.0091,3,-1.815,0.929,-2.027,0.891
2,0.95,0.012,0.14796,0.0221,4,-1.475,0.908,-1.865,0.898
3.5,0.95,0.012,0.23035,0.0464,1,-1.098,0.853,-1.289,0.806
0.5,0.98,0.012,0.09659,0.0053,1,-2.156,0.919,-2.168,0.867
1,0.98,0.012,0.15098,0.0122,2,-1.918,0.922,-2.165,0.899
2,0.98,0.012,0.22880,0.0271,25,-1.806,0.927,-2.043,0.975
3.5,0.98,0.012,0.32893,0.0528,21,-1.435,0.891,-1.569,0.947
0.5,0.99,0.012,0.13784,0.0064,1,-2.274,0.926,-2.372,0.892
1,0.99,0.012,0.19707,0.0138,4,-2.070,0.938,-2.569,0.953
2,0.99,0.012,0.29261,0.0283,1,-1.556,0.896,-1.805,0.879
3.5,0.99,0.012,0.42595,0.0548,21,-1.456,0.888,-1.581,0.950
0.5,0.999,0.012,0.23997,0.0075,1,-2.386,0.938,-2.629,0.929
1,0.999,0.012,0.33789,0.0148,6,-2.213,0.958,-2.867,0.991
2,0.999,0.012,0.59811,0.0266,9,-1.821,0.937,-2.353,0.976
3.5,0.999,0.012,0.79293,0.0535,1,-1.427,0.896,-1.832,0.929
0.5,0.95,0.03,0.04262,0.0019,2,-1.911,0.958,-2.210,0.963
1,0.95,0.03,0.07937,0.0055,2,-1.660,0.945,-2.028,0.961
2,0.95,0.03,0.15830,0.0168,21,-1.390,0.916,-1.517,0.967
3.5,0.95,0.03,0.26097,0.0412,19,-1.122,0.873,-1.096,0.947
0.5,0.98,0.03,0.10032,0.0030,1,-2.091,0.942,-2.404,0.941
1,0.98,0.03,0.14526,0.0078,4,-1.882,0.942,-2.498,0.991
2,0.98,0.03,0.27415,0.0210,16,-1.597,0.923,-1.824,0.968
3.5,0.98,0.03,0.40988,0.0471,12,-1.318,0.897,-1.461,0.951
0.5,0.99,0.03,0.12584,0.0038,2,-2.223,0.940,-2.712,0.957
1,0.99,0.03,0.20829,0.0086,13,-1.985,0.940,-2.429,0.982
2,0.99,0.03,0.38722,0.0230,13,-1.656,0.924,-1.904,0.967
3.5,0.99,0.03,0.57246,0.0489,13,-1.345,0.892,-1.471,0.949
0.5,0.999,0.03,0.31957,0.0050,13,-2.416,0.936,-3.006,0.984
1,0.999,0.03,0.47927,0.0103,10,-2.050,0.932,-2.487,0.975
2,0.999,0.03,0.85578,0.0236,9,-1.714,0.923,-2.021,0.966
3.5,0.999,0.03,1.31637,0.0524,9,-1.457,0.894,-1.691,0.951
0.5,0.95,0.06,0.04454,0.0013,1,-1.735,0.959,-2.072,0.983
1,0.95,0.06,0.07306,0.0042,9,-1.538,0.940,-1.835,0.979
2,0.95,0.06,0.13647,0.0143,9,-1.239,0.925,-1.414,0.966
3.5,0.95,0.06,0.25436,0.0382,9,-0.997,0.894,-1.071,0.959
0.5,0.98,0.06,0.07442,0.0019,9,-2.040,0.947,-2.589,0.986
1,0.98,0.06,0.12759,0.0055,9,-1.726,0.941,-2.147,0.979
2,0.98,0.06,0.24509,0.0178,8,-1.434,0.938,-1.719,0.972
3.5,0.98,0.06,0.42677,0.0447,9,-1.201,0.911,-1.366,0.955
0.5,0.99,0.06,0.12333,0.0023,8,-2.120,0.939,-2.708,0.982
1,0.99,0.06,0.20363,0.0065,9,-1.781,0.934,-2.191,0.973
2,0.99,0.06,0.34901,0.0194,8,-1.488,0.933,-1.750,0.966
3.5,0.99,0.06,0.58885,0.0465,6,-1.281,0.911,-1.500,0.954
0.5,0.999,0.06,0.33400,0.0033,6,-2.214,0.929,-2.810,0.977
1,0.999,0.06,0.60558,0.0081,6,-1.915,0.927,-2.351,0.969
2,0.999,0.06,0.87608,0.0212,8,-1.589,0.919,-1.831,0.958
3.5,0.999,0.06,1.56784,0.0505,6,-1.425,0.901,-1.665,0.952
