k,Ek
1,0.00112763
2,0.0044449
3,0.00727709
4,0.0164897
5,0.0139245
6,0.0154312
7,0.0112545
8,0.00923957
9,0.0130688
10,0.00776797
11,0.00542018
12,0.0026514
13,0.00222874
14,0.00141715
15,0.000966242
16,0.000876277
17,0.000620406
18,0.000423238
19,0.000341386
20,0.000257469
21,0.000254718
22,0.000186958
23,0.000151759
24,0.000120929
25,0.000117481
26,9.25407e-05
27,7.54747e-05
28,7.205e-05
29,5.61987e-05
30,5.64366e-05
31,4.66937e-05
32,4.05577e-05
33,3.91506e-05
34,3.61393e-05
35,3.13112e-05
36,2.85011e-05
37,2.48757e-05
38,2.45839e-05
39,2.06734e-05
40,2.09529e-05
41,1.74958e-05
42,1.70433e-05
43,1.60729e-05
44,1.3681e-05
45,1.37963e-05
46,1.20769e-05
47,1.22589e-05
48,1.13835e-05
49,1.07374e-05
50,9.94161e-06
51,9.5454e-06
52,9.43938e-06
53,7.96691e-06
54,7.94409e-06
55,7.66328e-06
56,6.96174e-06
57,7.2486e-06
58,6.05089e-06
59,6.80359e-06
60,6.11476e-06
61,5.56254e-06
62,5.72029e-06
63,4.93436e-06
64,5.71756e-06
65,4.90431e-06
66,4.94207e-06
67,4.66868e-06
68,4.38017e-06
69,4.5134e-06
70,4.10835e-06
71,3.96528e-06
72,4.22884e-06
73,3.71929e-06
74,3.84727e-06
75,3.52241e-06
76,3.65481e-06
77,3.57443e-06
78,3.25593e-06
79,3.28274e-06
80,3.16772e-06
81,3.34934e-06
82,3.1205e-06
83,3.07047e-06
84,3.09724e-06
85,3.30189e-06
86,2.69053e-06
87,2.22106e-06
88,1.94385e-06
89,1.92254e-06
90,1.62379e-06
91,1.49039e-06
92,1.33742e-06
93,1.3287e-06
94,1.13682e-06
95,1.05072e-06
96,9.67722e-07
97,8.84294e-07
98,8.9961e-07
99,7.05404e-07
100,7.40402e-07
101,5.9596e-07
102,5.75208e-07
103,6.00519e-07
104,4.54344e-07
105,4.78911e-07
106,3.98434e-07
107,3.63537e-07
108,3.67444e-07
109,2.81738e-07
110,2.84876e-07
111,2.41199e-07
112,2.1809e-07
113,1.95874e-07
114,1.18442e-07
115,1.99521e-07
116,8.45477e-08
117,1.39163e-07
118,5.35149e-08
119,4.15685e-08
120,4.19915e-08
121,2.85495e-26
122,2.05613e-26
123,1.42624e-26
124,9.18537e-27
125,5.95081e-27
126,4.0659e-27
127,2.69639e-27
