sensorDist,E,Z,lambda,krms,peakK,invPeakK,inSlope,inR2,highSlope,highR2
0.001,0.30222,0.01632,4.3028,0.2324,1,1.0000,-1.574,0.988,-1.495,0.989
0.00127428,0.26652,0.01670,3.9943,0.2504,1,1.0000,-1.534,0.989,-1.468,0.990
0.00162378,0.31257,0.01785,4.1848,0.2390,1,1.0000,-1.484,0.981,-1.475,0.989
0.00206914,0.32079,0.01730,4.3056,0.2323,1,1.0000,-1.512,0.984,-1.483,0.990
0.00263665,0.33386,0.01851,4.2469,0.2355,1,1.0000,-1.579,0.986,-1.540,0.988
0.00335982,0.34332,0.02038,4.1043,0.2436,1,1.0000,-1.586,0.972,-1.578,0.982
0.00428133,0.24640,0.02308,3.2677,0.3060,6,0.1667,-1.897,0.946,-1.718,0.969
0.00545559,0.26301,0.02528,3.2253,0.3101,4,0.2500,-1.963,0.928,-1.778,0.958
0.00695193,0.27761,0.02641,3.2420,0.3084,9,0.1111,-2.502,0.975,-1.876,0.952
0.00885867,0.25379,0.02527,3.1693,0.3155,1,1.0000,-1.870,0.890,-1.671,0.913
0.0112884,0.28929,0.02423,3.4553,0.2894,11,0.0909,-2.594,0.984,-1.911,0.947
0.0143845,0.28612,0.02242,3.5727,0.2799,21,0.0476,-2.147,0.976,-1.871,0.931
0.0183298,0.33387,0.02138,3.9519,0.2530,17,0.0588,-2.147,0.973,-1.843,0.930
0.0233572,0.36045,0.01996,4.2500,0.2353,16,0.0625,-2.051,0.971,-1.785,0.927
0.0297635,0.38685,0.01803,4.6321,0.2159,13,0.0769,-1.998,0.967,-1.730,0.924
0.0379269,0.39642,0.01719,4.8027,0.2082,9,0.1111,-2.020,0.972,-1.705,0.930
0.0483293,0.39699,0.01599,4.9825,0.2007,9,0.1111,-1.919,0.966,-1.636,0.927
0.0615848,0.36897,0.01539,4.8967,0.2042,9,0.1111,-1.848,0.964,-1.578,0.928
0.078476,0.40354,0.01459,5.2587,0.1902,7,0.1429,-1.783,0.962,-1.514,0.931
0.1,0.37918,0.01368,5.2649,0.1899,4,0.2500,-1.801,0.969,-1.494,0.938
